# Constructed from biom file																																																																																																																																																							
#OTU ID	BL.20.1	BL.20.10	BL.20.2	BL.20.3	BL.20.4	BL.20.5	BL.20.6	BL.20.7	BL.20.8	BL.20.9	BL.360.1	BL.360.10	BL.360.2	BL.360.3	BL.360.4	BL.360.5	BL.360.6	BL.360.7	BL.360.8	BL.360.9	BL.5760.1	BL.5760.10	BL.5760.11	BL.5760.2	BL.5760.3	BL.5760.4	BL.5760.5	BL.5760.6	BL.5760.7	BL.5760.8	BL.5760.9	BL.60.1	BL.60.2	BL.60.3	BL.60.4	BL.60.5	BL.60.6	BL.60.7	BL.60.9	BL.720.1	BL.720.2	BL.720.3	BL.720.4	BL.720.5	BL.720.6	BL.720.7	BL.720.8	BL.720.9	Barn.5760.1	CR.20.1	CR.20.10	CR.20.2	CR.20.3	CR.20.4	CR.20.5	CR.20.6	CR.20.7	CR.20.8	CR.20.9	CR.360.1	CR.360.10	CR.360.2	CR.360.3	CR.360.4	CR.360.5	CR.360.6	CR.360.7	CR.360.8	CR.360.9	CR.5760.1	CR.5760.10	CR.5760.2	CR.5760.3	CR.5760.4	CR.5760.5	CR.5760.6	CR.5760.7	CR.60.1	CR.60.10	CR.60.2	CR.60.4	CR.60.5	CR.60.6	CR.60.7	CR.60.8	CR.60.9	CR.720.1	CR.720.10	CR.720.2	CR.720.3	CR.720.5	CR.720.7	CR.720.8	CR.720.9	FB.20.1	FB.20.10	FB.20.2	FB.20.3	FB.20.4	FB.20.5	FB.20.6	FB.20.7	FB.20.8	FB.20.9	FB.360.1	FB.360.10	FB.360.2	FB.360.3	FB.360.4	FB.360.5	FB.360.6	FB.360.7	FB.360.8	FB.360.9	FB.5760.1	FB.5760.10	FB.5760.2	FB.5760.3	FB.5760.4	FB.5760.5	FB.5760.6	FB.5760.7	FB.5760.8	FB.5760.9	FB.60.1	FB.60.10	FB.60.2	FB.60.3	FB.60.4	FB.60.5	FB.60.6	FB.60.7	FB.60.8	FB.60.9	FB.720.1	FB.720.10	FB.720.2	FB.720.3	FB.720.4	FB.720.5	FB.720.6	FB.720.7	FB.720.8	Nereo.5760.1	Rope.5760.1	W.360.1	W.360.2	W.360.3	W.5760.1	W.5760.2	W.5760.3
Archaea;__Euryarchaeota;__Euryarchaeota;__Thermoplasmata	0.004137753	0.002148557	0.001022871	0.003094379	0.007602603	0.001931705	0.000695429	0.001341994	0.001165601	0.001894936	0.001597369	0.003089567	0.004972768	0.009025711	0.01521112	0.012690596	0.010471813	0.0295815	0.006572396	0.00963785	2.16E-05	0	0	1.68E-05	0	1.41E-05	0	9.50E-05	0	3.88E-05	0	0.004844871	0.00324506	0.013598961	0.010091005	0.000944003	0.005145607	0.01966016	0.001855094	0.00398308	0.003199731	0.004895622	0.008752572	0.005841121	0.010306977	0.012806751	0.010484597	0.015118042	0	0.006112863	0.01103951	0.001720444	0.000533385	9.53E-05	0.000304167	0	0.000799056	0.004242492	0.005433702	0.003212679	0.018036469	0.002827802	0.009173522	0.000516321	0.003538969	0.011404323	0.004249292	0.007091203	0.011177662	2.57E-05	0	0	0	0	3.05E-05	1.40E-05	0	0.014035254	0.000753732	0.011310146	0.006363006	0.00163373	0.003387658	0.011076765	0.005257009	0.003308927	0.01490241	0.022573363	0.007147345	0.002275831	0.001978781	0.005118465	0.008640642	0.011392554	0.003457757	0.003518359	0.001653088	0.001804736	0.004672612	0.000561719	0.000242302	0.002215594	0.00544973	8.92E-05	0.001058466	0.001597706	0.003215714	0.001790954	0.00187174	0.001057145	0.000386006	0.001165936	0.001124257	0.002338518	0	1.49E-05	0	0	1.40E-05	0	0	0	0	0	0.001912431	0.002049409	0.003616867	0.002715394	0.002752085	0.005506362	0.001170295	0.001335928	0.002313309	0.000937537	0.001943391	0.002743252	0.004751258	0.001191664	0.003127327	0.001888528	0.004044298	0.002233746	0.000443705	2.43E-05	3.13E-05	0.009526396	0.00973015	0.011788158	0.003546406	0.00768673	0.015977388
Archaea;__Thaumarchaeota;__Marine_Group_I;__Unknown_Order	0	0.001112646	0	0	0	0	0	0.001395673	0	0	0.000422833	3.09E-05	0.000169142	0	0	0.001231177	0	0.000322854	0	0	0	0	0	0	0	0	0	0	0	3.88E-05	0	9.32E-05	0	0	0	0	0	0	0.000757714	9.26E-05	5.61E-05	0.001200813	3.74E-05	0.000584112	0.000297674	0.000111041	7.21E-05	0.000909682	0	0.001158227	0	0	0.003345779	0.001048818	0	0.002443681	0	0	0.000927705	0.000985222	0.002774841	0	0.001076704	0.000803167	0.000120647	0.000895107	0	0.001018044	0.000506158	0	0	0	0	0	0	0	0	0	0.000550804	0.001176778	0.008190008	0.001068208	0	0	0.000129803	0	0.003107183	0	0	0.000493097	0	0.001577389	0.000462892	0.000508946	0.000124979	0.000112288	0.001357893	0.002112862	0.000397019	0.000456397	4.04E-05	0	0	0	2.79E-05	0.0001229	0	0.000381054	0.000705738	0.000910319	0.000421097	0.000396418	0.000508593	3.54E-05	0	0	0	3.35E-05	0	0	0	0	0	1.43E-05	0	0.002161195	0.002127569	0.002062066	0.00014186	0.000520872	0.000167185	0.001335928	0	0	3.13E-05	0.000237071	0	0.000415697	0	4.84E-05	0.00094493	0	0.000194121	0	0.000781397	0.001267169	0.00101626	0.001092561	0.003416659	0.002936911	0.005868844
Archaea;__Thaumarchaeota;__South_African_Gold_Mine_Gp_1(SAGMCG.1);__Unknown_Order	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000410019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;__Thaumarchaeota;__Thaumarchaeota;__Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35E-05	0	0	0	0	0	0	0	0	0	0	0.000216136	0.000112271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00198794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	5.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25E-05	0	0	0	0	0	0
Bacteria;__Acidobacteria;__Acidobacteria;__Acidobacteria	0.000344813	3.84E-05	0.000450063	0	0	0.000903539	0.000187231	0.000563637	0	0	0.000281889	6.18E-05	0.000913366	0	0	0	0.000523591	0	0	0	0	0	3.08E-05	0	0	2.81E-05	0	3.17E-05	0	3.88E-05	2.67E-05	0.000745365	5.79E-05	0.001472499	0	0.00055782	0	0	0	0	0.000449085	9.24E-05	0.001047316	0.000253962	7.44E-05	0.000222082	0.000216177	0.000519818	4.37E-05	0	0	0	0.000484896	9.53E-05	0	0	0	0	0	0.001456415	0	0	0	0	0	6.63E-05	0	0.000561679	0.000421799	1.29E-05	0	4.29E-05	2.57E-05	0	0	1.40E-05	0	0.000850621	2.90E-05	0	0.000441	0	0.001831166	0	0.001168224	0.002252887	0	0	0	3.79E-05	0	3.22E-05	0	0	0.001999667	0.00116031	0	0.00044018	0.000488639	0	0	0.00230081	0.000203728	0	0.001866243	0.001966407	0.000130367	0.000762108	0.00021479	0.002114289	0.001403657	0.001912135	0.001231329	0.000814938	0	0	3.39E-05	5.03E-05	0	0	1.79E-05	0	2.76E-05	0	0.000436168	0.001192384	0.000680822	0.000469579	0	0.000818513	3.34E-05	0.000522754	0.000506036	0.001054729	0.000282105	0.001524029	0.000279486	0.001080811	0	0.000242119	0.000491363	0.000345699	0.000388242	0	0.001594049	4.53E-05	8.65E-05	5.75E-05	0.000108122	1.81E-05	0
Bacteria;__Acidobacteria;__Acidobacteria;__Acidobacteriales	0.000948235	0.004604052	0.000286404	0	0	0.00772682	0.007542729	0	5.69E-05	0.013580377	0.002724924	0.007075107	0	0	0.000104904	0	0	0	4.98E-05	0.000681464	0	0	0	1.68E-05	0	0	0	0	1.35E-05	0	0	0.000186341	0.004838616	0	0	0.002188372	0.005840959	0	0.002090246	0.004569735	0	0.004710881	0.002954928	0.003860219	0.000706977	0	0	4.33E-05	2.19E-05	6.43E-05	0	0.008180225	0.01076468	0.001906941	0	0.006300115	0.011643393	0.000223289	6.63E-05	0.004454915	6.61E-05	0	0.003014772	0.005163215	0.008646344	0	0.004696586	7.02E-05	0.000253079	0	0	0	0	0	0	0	0	0	0.005855921	0	0	0.005498131	0	0	6.49E-05	7.04E-05	0	0	0.000549796	0.00295858	0.006525766	0.00540819	5.14E-05	3.91E-05	0	0	0	0	0.001985097	0.008039601	0	0.004005113	0.000203728	0	0	0.005202786	0	0.005144229	0.002761583	0	0.002702039	0	0	0.00609432	0	0	0	0	1.40E-05	0	0	0	0	0	0.00543533	0.003502627	0.000851028	0	0.003461386	0	0.008860802	0.003833532	0	0	0	0.003996342	0	0	0	0.005181347	0	0	0	0	9.38E-05	2.26E-05	0	1.92E-05	0	0	0
Bacteria;__Acidobacteria;__Acidobacteria;__Holophagae	0	0	0.000122745	0	0	0.000342722	0.000347714	0.000670997	0	0.000105274	0.000422833	0	0.000845709	0.000487876	0.00073433	0	0.001221712	8.07E-05	0	0.002677181	0	1.44E-05	0	0	0	0	0	3.17E-05	0	0	0	0	0.000347685	8.66E-05	0.002042964	0	8.34E-05	0	0.000444177	0.000741038	0.000449085	0.000738962	0.000149617	0.000177773	3.72E-05	0.000148055	3.60E-05	0.000129955	6.56E-05	0	0	0	0	0	0	0	0	0	0.001060235	0	0	0	0	0	0	0.002287495	0	0.000666994	0.000210899	1.29E-05	0	0	0	1.37E-05	0	0	0	0.00028354	0	0	0.001071001	0	0.005768174	0	0	0	0	0	0	0	0	0	0	0.000117449	0.002124646	0.000262005	0	0.001056431	0.000610799	0	2.02E-05	0.000809544	0.000967709	0	0.00267402	0.000286768	0.000173822	0.000342949	0.000828475	0.002319845	0.000772011	0.003148027	0.001927298	0.00085037	2.33E-05	0	0	3.35E-05	0	1.41E-05	0	1.71E-05	1.38E-05	4.29E-05	0.00023486	0.000260834	0	0.000714577	0.000226976	0.000148821	0	0.000232335	0	0	0.000846315	0.000711213	0.000698714	0.001745926	0	0	0.000642552	0.001755086	0.002606767	0.000169845	0.002312934	0.00011314	0.000108113	7.67E-05	0.000324366	9.06E-05	1.96E-05
Bacteria;__Acidobacteria;__Blastocatellia;__Blastocatellales	0	0.000882443	0.000163659	0	0	3.12E-05	0.000133736	0.000107359	0	0.002561673	0.000704722	0	0.00020297	0.000487876	0.000157356	0	0	0.000242141	0	0	0	0	0	0	0	0	0	0	1.35E-05	0	0	9.32E-05	0.000985107	0	0	0.001201459	0.000695352	0	0.00122802	0.000401396	0.000224542	0	3.74E-05	5.08E-05	0.00052093	0.000222082	0	0.000433182	4.37E-05	0	0	0.000519379	0.001212239	0.004481312	0.013915644	0	0.001027358	0	0.001457823	0	0.000462474	0.002827802	0	0	0.000844527	0	0.000111823	0	0	0	0	0	2.57E-05	0	0	0	0	0	0.000898681	0.001046025	0.003339003	0.002010745	0	0	0	0.000211208	0	0	0	0.000113792	0	0	0.000565756	0	0.000416597	0	0	0.000352144	0.000458099	0.001263867	0	0	0.000662117	3.57E-05	0.000640651	0.000655469	0	0	9.21E-05	0	0.000526371	0.000513012	0.000749505	0	0	0	0	1.68E-05	0	0	0	0	0	0	0	0.000111786	0.000638271	0.000244998	0.000312092	0.000223231	0.000133748	0	0	0	0	0	0.000419229	0.003574992	0	2.42E-05	0	0	0.000443705	4.85E-05	0.000843908	4.53E-05	2.16E-05	7.67E-05	2.16E-05	0	0
Bacteria;__Actinobacteria;__Acidimicrobiia;__Acidimicrobiales	0.00107754	0.000383671	0.003314103	0.000128932	0.000515431	0.001464357	0.001765319	0.005931612	0.00235963	0.000350914	0.005402866	0.000308957	0.007442238	0.012684783	0.007920273	0.002651766	0.004188725	0.000766778	0.004929297	0.008859034	0	1.44E-05	3.08E-05	3.37E-05	1.29E-05	1.41E-05	0	0.000110775	4.05E-05	3.88E-05	1.33E-05	0.00307463	0.003071217	0.000866176	0.006066984	0.002145462	0.001307262	0.001123438	0.002377655	0.002686263	0.003929494	0.001385553	0.004002244	0.004088785	0.004502326	0.007587815	0.002738245	0.002945636	0.003474574	0.002702529	0	0.000616763	0.00436406	0.001906941	0.000456251	3.82E-05	0.002435219	0.003795914	0.002584322	4.28E-05	0.001783827	0.000248053	4.31E-05	0.001290804	0.002815089	0.00440923	0.000633666	0.008565611	0.002319892	2.57E-05	0	2.14E-05	0	4.12E-05	0	8.40E-05	1.52E-05	0.004300364	0.001536455	0.000719142	0.003024003	0.002324924	0	0.00309119	0.00337487	0.000281611	0.004796525	0.001504891	0.003966384	0.001612047	0.003157629	0.005955447	0.003548835	0.00352347	0.005665722	0.005427256	0.00253867	0.006206532	0.005375031	0.00136919	0.00044422	0.001959949	0.002444739	1.78E-05	0.011113897	0.002417042	0.003954459	0.002172008	0.003927585	0.009837317	0.007263923	0.009677269	0.00800364	0.001381852	2.33E-05	1.49E-05	0	3.35E-05	4.20E-05	0.000154709	0	3.42E-05	4.14E-05	0	0.00379131	0.00544025	0.008595379	0.006267864	0.002468365	0.009115262	0.003945565	0.003485029	0.002602472	0.007910465	0.01012444	0.003759271	0.006428172	0.004849795	0.003772648	0.002348555	0.004649053	0.00638213	0.006017748	0.000315427	0.011408389	0.015025004	0.016498011	0.016867608	0.018251016	0.023477157	0.031876264
Bacteria;__Actinobacteria;__Actinobacteria;__Acidimicrobiia	0	0.006253837	0.0041324	0	0.000644288	0.005203141	0.003209672	0.002522948	0.000852878	0.003333684	0.006718346	0.002842401	0.001353134	0.001414841	0.003619197	9.47E-05	0.001047181	8.07E-05	0.005277833	0.00097352	0	1.44E-05	1.54E-05	1.68E-05	0	2.81E-05	4.47E-05	0.00015825	0	3.88E-05	0	0	0.002694559	0	0.001485792	0.006479296	0.003560204	0.00014043	0.003239882	0.004260969	0.001431458	0.005080362	0.003890032	0.002361845	0.002604651	0.000518192	0.001188975	0.0014295	0.000196674	0.00032173	0.001267695	0.008017919	0.013189158	9.53E-05	0	0.004772814	0.006011948	0	0.001259029	0.007153566	0.001255285	0	0.004220681	0.005364007	0.002493364	0.000762498	0.006523036	0.004984905	0.001729374	0	8.56E-05	0	1.29E-05	2.74E-05	3.05E-05	1.40E-05	0	0.000567081	0.007160458	0.000130753	0.007875008	0.005875145	0	0	0.000259605	0	0.000693837	0	3.93E-05	0.002863754	0.004589087	0.002124646	0.000874351	0.00117449	0.002374604	0.000898304	0.001298855	0.001056431	0.002901295	0.007688527	0.000201918	0.000852152	0.000152796	5.35E-05	0.002646166	0.006800492	0.001173301	0.006668445	0.004203743	0.002642861	0.005684809	0.003054752	0.002248514	0.003188888	4.67E-05	0	3.39E-05	6.70E-05	0	4.22E-05	0	0	0	1.43E-05	0.009528603	0.003167269	0.002297775	0.002919559	0.002581853	0.001264975	0.002474337	0.004966166	0.001445818	0.002461034	0.003416607	0.003115792	0.0009782	0.001219377	0.001588483	0.003777057	0.000529161	0.00156894	0.00266223	0.00033969	0.005469776	0.002602222	0.001448711	0.001341742	0.005233111	0.004586657	0.002394645
