	Blade.mid.58	Blade.mid.51	Blade.bot.60	Water.bot.in.68	Water.surface.in.67	Blade.mid.57	Water.bot.in.69	Blade.bot.59	Blade.mid.56	Water.bot.in.71	Blade.bot.52	Blade.bot.54	Blade.bot.55	Water.bot.in.73
Blade.mid.58	0.0	0.795	0.82	0.825	0.8175	0.745	0.83	0.81	0.7	0.8325	0.8375	0.815	0.835	0.8225
Blade.mid.51	0.795	0.0	0.7325	0.8075	0.8475	0.7475	0.8225	0.7575	0.7525	0.8325	0.75	0.7525	0.7225	0.79
Blade.bot.60	0.82	0.7325	0.0	0.7825	0.7925	0.755	0.765	0.675	0.7425	0.7725	0.675	0.6975	0.6575	0.7375
Water.bot.in.68	0.825	0.8075	0.7825	0.0	0.64	0.795	0.6325	0.7525	0.7925	0.6475	0.7725	0.795	0.755	0.6125
Water.surface.in.67	0.8175	0.8475	0.7925	0.64	0.0	0.7725	0.6	0.75	0.7725	0.6875	0.77	0.8025	0.7575	0.6075
Blade.mid.57	0.745	0.7475	0.755	0.795	0.7725	0.0	0.7825	0.74	0.73	0.7625	0.74	0.76	0.735	0.77
Water.bot.in.69	0.83	0.8225	0.765	0.6325	0.6	0.7825	0.0	0.7475	0.795	0.6575	0.765	0.81	0.7625	0.61
Blade.bot.59	0.81	0.7575	0.675	0.7525	0.75	0.74	0.7475	0.0	0.7875	0.7575	0.645	0.695	0.63	0.725
Blade.mid.56	0.7	0.7525	0.7425	0.7925	0.7725	0.73	0.795	0.7875	0.0	0.8225	0.74	0.7925	0.7875	0.785
Water.bot.in.71	0.8325	0.8325	0.7725	0.6475	0.6875	0.7625	0.6575	0.7575	0.8225	0.0	0.765	0.7725	0.78	0.6375
Blade.bot.52	0.8375	0.75	0.675	0.7725	0.77	0.74	0.765	0.645	0.74	0.765	0.0	0.7325	0.6275	0.74
Blade.bot.54	0.815	0.7525	0.6975	0.795	0.8025	0.76	0.81	0.695	0.7925	0.7725	0.7325	0.0	0.6675	0.7925
Blade.bot.55	0.835	0.7225	0.6575	0.755	0.7575	0.735	0.7625	0.63	0.7875	0.78	0.6275	0.6675	0.0	0.7325
Water.bot.in.73	0.8225	0.79	0.7375	0.6125	0.6075	0.77	0.61	0.725	0.785	0.6375	0.74	0.7925	0.7325	0.0
